id,date_established,year_balance,date_status,status,nuts1,nuts2,nuts3,roe,rcem,solr,rshf,rcem.1,solr.1,empl,rtas,roa,prma,grma,etma,ebma,cfop,evet,mkcf,nat,ic,stot,coll,crpe,liqr,curr,shlq,solr.2,soll,gear,ppe,tpe,sct,ace,sfpe,wcpe,tape
N44O4A,1978-01-01,2001,NA,Unknown,ITH - Northeast,ITH5 - Emilia-Romagna,ITH52 - Parma,29.134,41.825,35.284,43.779,41.676,35.298,102,15.431,10.243,7.854,NA,12.108,8.31,9.024,NA,NA,5.024,17.42,16.966,73.877,65.991,0.979,1.17,9.095,35.285,54.521,26.045,22.807,260.03,10.23,26.902,47.153,21.08,260.365
5PC64H,2007-09-20,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH52 - Parma,5.205,8.528,13.261,13.05,8.686,13.273,15,1.705,0.698,1.124,NA,5.997,1.769,4.698,NA,NA,5.202,3.487,4.579,86.005,78.167,0.619,1.089,0.923,13.279,15.299,366.002,1.423,264.688,15.661,40.968,22.91,62.927,263.25
4IC1J8,1997-12-12,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH54 - Modena,9.397,13.769,31.275,15.373,14.093,31.264,7,4.792,2.977,6.007,NA,11.464,7.056,8.093,NA,NA,1.979,6.643,2.79,122.967,92.181,0.77,1.248,3.543,31.253,45.51,120.182,44.434,746.342,3.84,29.034,292.806,330.119,743.417
X38K5I,2000-02-03,2017,NA,Active,ITH - Northeast,ITH5 - Emilia-Romagna,ITH56 - Ferrara,10.899,12.637,18.856,21.407,12.436,18.854,8,4.038,2.003,2.413,NA,11.424,3.072,9.55,NA,NA,4.084,4.505,82.898,97.139,110.098,1.06,1.091,0.834,18.83,23.232,144.087,6.02,271.784,13.312,35.863,31.147,-7.068,272.788
2GA77E,2007-04-16,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH37 - Rovigo,23.592,39.988,11.518,31.95,39.713,11.517,9,3.678,2.739,2.17,NA,5.009,3.821,2.792,NA,NA,10.412,2.364,6.967,0.045,0.18,0.471,0.76,2.392,11.526,12.999,42.615,3.853,143.613,12.16,17.069,9.858,21.041,142.472
BJF291,2001-10-19,2017,NA,Active,ITI - Centre,ITI1 - Toscana,ITI14 - Firenze,24.069,5.227,8.523,38.605,5.509,8.506,8,3.312,2.04,3.269,NA,9.784,3.588,8.23,NA,NA,1.481,12.207,122.204,0.152,-0.072,1.61,1.639,0.15,8.492,9.301,692.99,4.025,153.584,25.979,39.848,12.868,0.965,151.626
3V5T4P,2002-06-12,2016,2013-12-30,Liquidation,ITF - South,ITF5 - Basilicata,ITF51 - Potenza,NA,NA,-0.013,NA,NA,0.006,NA,-0.529,-0.502,NA,NA,NA,NA,NA,NA,NA,0.064,NA,1.505,NA,NA,0.1,0.099,-0.102,-0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA
739ZPH,1977-03-03,2001,1993-11-16,Bankruptcy,ITG - Insular Italy,ITG1 - Sicilia,ITG12 - Palermo,2.371,12.161,17.821,5.824,12.256,17.816,316,1.023,0.463,0.779,NA,3.373,1.164,2.567,NA,NA,4.974,0.661,15.19,2.034,43.194,0.569,0.69,2.04,17.823,21.681,337.073,0.078,234.328,13.761,31.971,31.011,-11.072,234.248
64IN1Y,1925-06-05,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH36 - Padova,15.202,18.765,75.32,20.689,18.955,75.327,17,15.637,11.352,8.715,NA,11.214,8.699,8.868,NA,NA,2.183,567.034,18.476,54.035,23.191,3.841,4.409,9.831,75.317,NA,9.993,44.595,506.958,11.981,60.897,211.931,70.084,504.253
2I5F2I,1963-12-30,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4B - Mantova,19.373,18.431,37.584,24.578,18.233,37.593,32,9.193,7.228,4.246,NA,5.024,4.336,4.004,NA,NA,4.233,37.552,69.175,110.177,48.87,1.579,1.64,2.528,37.581,60.239,81.475,105.821,2504.454,2.089,52.1,431.828,460.859,2504.675
144UHG,2009-12-30,2017,NA,Active,ITF - South,ITF1 - Abruzzo,ITF11 - L'Aquila,31.927,13.357,6.02,48.975,13.307,6.059,1,2.956,1.92,2.715,NA,10.735,5.248,7.249,NA,NA,2.54,1.889,191.076,-0.002,-0.097,0.889,0.9,0.187,6.034,6.431,604.775,84.229,3060.22,30.269,NA,169.979,16.188,3060.78
UC9X88,2013-02-28,2017,NA,Active,ITC - Northwest,ITC4 - Lombardia,ITC4C - Milano,-25.716,-13.39,14.968,-42.477,-13.26,14.949,22,-6.363,-3.822,-4.763,NA,1.219,-4.432,2.798,NA,NA,3,-14.94,13.211,51.2,125.129,0.79,0.969,0.696,14.941,17.601,210.788,-4.554,85.92,19.591,17.169,9.855,-10.8,84.554
E7UJ97,1980-08-12,2017,NA,Active,ITF - South,ITF3 - Campania,ITF33 - Napoli,3.509,11.213,20.719,7.303,11.203,20.7,9,1.551,0.718,1.887,NA,3.801,3.417,1.277,NA,NA,2.586,1.447,15.064,175.098,107.999,1.209,1.291,2.022,20.701,26.12,118.216,10.723,558.312,6.931,38.819,142.992,141.89,559.008
W14OS7,1989-06-13,2017,NA,Active,ITI - Centre,ITI2 - Umbria,ITI21 - Perugia,6.54,5.223,23.6,9.435,4.898,23.579,16,2.193,1.492,3.04,NA,5.201,4.069,3.279,NA,NA,1.209,3.729,2.329,71.112,49.128,0.88,1.64,0.51,23.582,30.882,207.411,24.847,825.82,4.031,32.88,272.046,405.136,823.947
8P9H2K,2001-09-05,2017,NA,Active,ITH - Northeast,ITH3 - Veneto,ITH36 - Padova,0.07,1.89,19.618,1.215,2.152,19.603,29,0.242,0.009,0.245,NA,2.669,1.036,1.668,NA,NA,1.964,1.109,NA,73.044,70.13,0.799,0.799,0.688,19.601,24.389,272.519,1.408,157.393,23.15,36.161,27.182,1.18,158.626
